机构,比较分组,默认保障资料参考分,主榜名次,并列,有加分依据维度数,总维度数,评分说明,口碑提示（不计入分数）,证据截至,模型版本,换人保障得分（满分30）,换人保障档位（0–5）,换人保障依据与缺口,换人保障来源,退出与退费得分（满分20）,退出与退费档位（0–5）,退出与退费依据与缺口,退出与退费来源,人员筛选得分（满分15）,人员筛选档位（0–5）,人员筛选依据与缺口,人员筛选来源,督导与售后得分（满分15）,督导与售后档位（0–5）,督导与售后依据与缺口,督导与售后来源,主体与北京业务得分（满分10）,主体与北京业务档位（0–5）,主体与北京业务依据与缺口,主体与北京业务来源,费用透明度得分（满分10）,费用透明度档位（0–5）,费用透明度依据与缺口,费用透明度来源
福月佳,北京育儿业务有线索,14,32,是,3,6,官网能定位北京育儿服务及主体，具体培训依据偏旧；更换、退款和当期收费未找到足够可用的公开文字。,小红书站内已读具名材料：作者称18800档月嫂因照护问题更换后，替换人员简历标15500，申请退差价时与机构产生分歧；称机构以不满意可再换回应，未见最终退费。；作者感谢匹配到的月嫂，肯定喂养、月子餐、日常照顾和情绪支持。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,0,0,已读官网和育婴育儿专页，未找到免费换人次数、到岗期及离岗责任；首页安全保障概念不能代替明确换人规则。,,0,0,未取得育儿嫂试工失败扣费、长期匹配失败退出及退费算法；目前可读的服务项目和课程不能说明机构费是否可退。,,3,1,官网有十天育婴课程、辅食及模拟实操，但课表为二〇一八年资料；未核现行课程、人员背调、健康和考核记录。,http://www.fuyuejia.com/nd.jsp?id=21,3,1,官网有入户指导与客服入口的宣传，尚未披露明确职责和执行频次；突发离岗的补位协调和升级时限仍未取得。,http://www.fuyuejia.com/,8,4,官网页脚明确北京福月佳家政服务有限公司，育儿专页和北京电话可归属；网站可读仍不能证明当下候选与门店档期。,"http://www.fuyuejia.com/
http://www.fuyuejia.com/col.jsp?id=120",0,0,检索及官网回读未取得注明时效的北京育儿嫂工资和服务费；客户量、培训费用及其他工种信息不能代替完整报价。,
北京贝亲贝乐家政有限公司,北京育儿业务有线索,14,32,是,4,6,有近期北京育儿广告，但主体称呼和报价口径不一致；培训指导以自述为主，更换与退款缺明确公开规则。,已补到电话、分级费用与培训自述，也发现主体称呼及价格口径有待确认。没有取得独立具名北京育儿嫂口碑或完整换人合同，应据具体订单报价书再比较。,2026-09-21,1.0,0,0,已读机构自有商家简介与二〇二六年服务广告，未取得育儿嫂免费更换次数及到岗期；服务种类丰富不证明换人保障。,,0,0,现有资料没有机构费组成、试工取消或换人失败退费办法；两种主体称呼的责任关系也需先核，不能推定可退比例。,,3,1,机构自有商家介绍培训持证、营养师团队及一对一个性指导，仍属培训能力宣传；候选健康、背景和实操记录未核。,"https://www.beijingbaomu.com/user/beiqinbeile/
https://www.beijingbaomu.com/xuqiu/99999984771.html",3,1,商家提出按需求进行个性指导，但未列具体顾问职责和固定督导安排；售后响应、升级时限及替补处理机制仍缺。,"https://www.beijingbaomu.com/user/beiqinbeile/
https://www.beijingbaomu.com/xuqiu/99999984771.html",6,3,机构自有服务广告有北京育儿业务、电话和当年发布日期；目录却有公司与服务中心两种称呼及不同地址，责任主体待核。,"https://www.beijingbaomu.com/user/beiqinbeile/
https://www.beijingbaomu.com/user/bjbeiqinbeile/
https://www.beijingbaomu.com/xuqiu/99999984771.html",2,1,当年服务广告的标题区间与正文育儿嫂等级价不一致，疑有旧文复用；仅记报价线索，休息、带睡和机构费需重列。,https://www.beijingbaomu.com/xuqiu/99999984771.html
益友嘉,北京育儿业务有线索,14,32,是,4,6,机构官网与社区门店资料可追查，体检培训和价格主要是旧信息；分店法人关系、当前换退合同及售后细则仍缺。,建议新增北京本地社区家政候选，石景山覆盖线索较清楚。独立评价目前只有平台摘录，不能把不同门店、非育儿工种评分合并，更不能用旧低价作预算。,2026-09-21,1.0,0,0,益友嘉官网与永乐店资料未取得现行免费更换次数、间隔或替补到岗期限，不同分店名称也不能默认适用同一育儿合同。,,0,0,未取得当前育儿退费合同及可归属独立退款经历，旧门店宣传没有给出无人可换、提前终约的扣费和到账办法。,,3,1,永乐店自述统一体检与初级培训，但目录信息年代较旧，只作历史筛选线索；当前证书审核、背调及育儿考核未取得。,https://bj.jiazhenggang.com/user/yyjjz2008/,3,1,官网有一般售后保障宣传，尚未说明育儿督导职责、回访频次或应急补位时限，旧新闻与门店评分不能补足流程。,http://www.bjyyj.cn/,6,3,可读机构官网和门店页列北京育儿业务及电话，但职业介绍、家政公司与分店称谓不同，近期直接接单和责任主体还需核对。,"http://www.bjyyj.cn/
https://bj.jiazhenggang.com/user/yyjjz2008/
https://www.beijingbaomu.com/user/yiyoujia1/xq100000004091.html",2,1,永乐旧介绍有育儿嫂3500至4500元月价，仅可记录历史消费报价线索，不能作2026预算；当前机构费和试工费用仍缺。,https://bj.jiazhenggang.com/user/yyjjz2008/
金月时代,北京育儿业务有线索,14,32,是,4,6,历史育儿业务与回访筛选自述有据，当前换人只见推广索引；先核同一法人和现行合同，再比较保障。,有明确历史北京育儿业务；当前换人条款主要是推广说法，缺少现行合同。应先核准门店及法人，再比较服务，不依推荐榜确定质量。,2026-09-21,1.0,6,1,2026商业推广索引称不满意可在规定时间免费更换，但未读到全文和具体天数；仅作间接线索，尚无官方现行承诺。,https://www.chinapp.net.cn/shangwu/article-jcvo-415321.html,0,0,品牌及完整法人退费检索未取得育儿退出合同，试工、中介费和连续匹配失败如何结算均未知，推广不能补足。,,3,1,较旧企业页面自述身份资质查验与岗前培训，只支持历史筛选宣传；当期健康、背调、实操标准和人选记录未取得。,https://bj.jiazhenggang.com/user/jinyueshidai/,3,1,旧企业自述有定期回访，但没有现行育儿频次、责任人或投诉时限；历史特许备案事项不能转作服务机制依据。,https://bj.jiazhenggang.com/user/jinyueshidai/,2,1,政府旧名录和历史育儿招聘支持北京品牌存在，页面法人名称不一致，当前直接在售和同一法人接单仍未核实。,"https://bj.jiazhenggang.com/user/jinyueshidai/
https://sw.beijing.gov.cn/zmhd/dczjj/202306/t20230601_3119537.html",0,0,历史招聘工资不适用本日家庭报价，查后未取得现行育儿工资、机构费、假日费用及超次换人价格表。,https://bj.jiazhenggang.com/user/jinyueshidai/
我爱我妻,北京育儿业务有线索,12,37,是,3,6,能定位北京育儿嫂服务及培训宣传，联系信息存在新旧混用；换人、退款和加盟责任仍缺可执行文字。,主体及北京业务入口可补核，但当前换退条款和独立北京育儿嫂样本仍缺。广泛搜索及黑猫/消费保/知乎/公开小红书索引补查主要是品牌与加盟宣传；不可因为全国门店多而直接排在售后明确的机构之前。,2026-09-21,1.0,0,0,官网北京育儿嫂列表可见，但未取得适用该工种的免费换人次数、同档替换及到岗期；随时响应不能等同补位保证。,,0,0,未取得北京育儿嫂当前退款规则；检出的深圳旧退款报道城市和合同主体均不同，不能用作北京订单的退出依据。,,3,1,官网称培训派岗、在岗反馈及回炉培训，人员页展示证书经历；尚无可核的背调、体检和拟派人员实操考核记录。,"http://www.woaiwoqi.com.cn/Wap/about_us
http://www.woaiwoqi.com.cn/Matron/lists/show/2321/p/56",3,1,官网有在岗反馈与回炉培训的服务描述，但北京加盟订单的责任分工未明确；仍缺售后主管、督导频次和升级规则。,http://www.woaiwoqi.com.cn/Wap/about_us,6,3,官网北京筛选及联系方式可与历史政府、协会主体线索对应；页脚地址和部分联系列表混有旧信息，当前责任主体待核。,"http://www.woaiwoqi.com.cn/Wap/about_us
http://www.woaiwoqi.com.cn/Matron/lists/show/2321/p/56
https://sw.beijing.gov.cn/phone/zmhd/dczj/201912/t20191221_1402685.html
https://www.zqjz.com/index/index/wlist?id=113",0,0,已读品牌和找阿姨页面，未取得适用于当前北京育儿嫂的费用表；星级、工作日、带睡和服务费需分项重新报价。,
北京金有鑫家政公司,北京育儿业务有线索,12,37,是,3,6,近期机构自有商家资料偏高学历陪伴与育儿混合服务；筛选督导主要为第三方介绍，更换、退款和专门报价仍需核。,比旧清单补到候选工商信息和当期服务范围。定位偏高学历陪伴及高端家政，若需小月龄全天照护要先核育儿经历；未取得具名育儿嫂履约纠纷或可信满意度统计。,2026-09-21,1.0,0,0,已查机构自有商家主页和当年服务广告，未取得免费换人次数、升级差价与到岗期限；高学历人选展示不能补足这些规则。,,0,0,未取得首配费用、按剩余周期退款及长期无人可换的退出方案；现有主体和岗位资料没有形成可计算的退费条款。,,3,1,招聘聚合介绍称理论技能培训、严格考核和体检保险，仅为第三方介绍；仍缺机构自有完整流程及候选原件和核验报告。,https://www.jobui.com/company/10036678/,3,1,招聘平台介绍提专门老师监督纪律，但属间接说明；育儿嫂专门督导、回访频次和问题响应时限未取得当前原始规则。,https://www.jobui.com/company/10036678/,6,3,机构自有商家页有北京育儿服务与公开联系，第三方列完整公司名；公司称呼和经营注册地址不同，当前合同法人仍需核。,"https://www.beijingbaomu.com/user/gaoduanjz/
https://www.beijingbaomu.com/user/gaoduanjz/xq99999990406.html
https://www.jobui.com/company/10036678/",0,0,一万至两万元等广告混合陪伴师、家教和保姆，不能分离出育儿嫂费用；本轮未取得含机构费的适用育儿专门报价。,
北京鑫悦家政服务有限公司,北京育儿业务有线索,11,39,是,2,6,机构自有商家页可定位北京公司与育儿服务，人员培训持证主要为自述；更换、退款和育儿嫂售后缺少适用条款。,有较新育儿嫂服务与人选线索，补到联系渠道。三类查询和独立口碑限定复查未取得本主体具名履约评价；“售后完善”尚无具体合同支持。,2026-09-21,1.0,0,0,已读机构自有商家简介及当年服务列表，未取得育儿嫂免费更换次数与到岗期限；人员示例及经验展示不能证明补位义务。,,0,0,未取得取消、试工失败或多次不适配的退费规则及处理结果；服务广告没有说明机构费用如何扣除和剩余款项返还。,,3,1,商家育儿介绍称专业培训、有育婴师证，个别履历列证书；仍属资格宣传，未核证件原件、发证单位与实际技能考核。,https://www.beijingbaomu.com/user/xinyue/fuwu.html,0,0,完善售后文字出现在月嫂广告，未确认育儿嫂同样适用；本次未取得育儿嫂顾问责任、回访及紧急协调的具体机制。,,8,4,当前机构自有商家页明确北京鑫悦家政公司、北京育儿业务、电话和完整地址，并有当年服务发布；执照和本单责任仍待核。,"https://www.beijingbaomu.com/user/xinyue/about.html
https://www.beijingbaomu.com/user/xinyue/fuwu.html",0,0,当年列表有白班或带睡人员工资示例，尚非完整家庭收费表；人员是否待岗、休息差异及机构服务费没有统一口径。,
北京康佑佳家政,北京育儿业务有线索,11,39,是,2,6,机构自有商家页能定位北京育儿业务，持证信息仅属宣传；换人、退费和督导缺少可比较条款，招聘工资也不能代替家庭报价。,从未明主体推进到商家自述全称及具体北京育儿岗位，但育儿督导和换退保障仍没有公开合同证据；未取得独立消费经历。,2026-09-21,1.0,0,0,已检索康佑佳的换人合同与商家主页，未取得适用育儿嫂的换人承诺；免费次数、候选期限及无人可换处理均缺。,,0,0,主页和退费专项检索未提供育儿嫂解约退款规则，服务费如何扣除、匹配失败能否退出及到账时间仍无法比较。,,3,1,商家简历有育婴、早教证书与技能分级宣传，可形成持证线索；尚无证书核验、健康检查和背景调查的具体流程。,https://www.beijingbaomu.com/user/kangyoujia/,0,0,读到育儿招聘和健康管理定位，但未取得育儿业务的督导、回访频率或异常处理制度；公开电话不能替代售后机制。,,8,4,已读机构自有商家页可对应北京康佑佳健康管理有限公司、近期北京育儿岗位和电话地址；本单签约收款主体及档期尚未核验。,https://www.beijingbaomu.com/user/kangyoujia/,0,0,页面7500元及6500元为不同白班育儿岗位的招聘工资，不能作为家庭服务报价；机构费、试工和附加费用均未公开。,https://www.beijingbaomu.com/user/kangyoujia/
北京康贝乐家政服务有限公司,北京育儿业务有线索,11,39,是,2,6,北京机构自有商家页和近期育儿岗位较明确，但换退规则未公开；人员资格目前仅见持证体检要求，尚未形成可核验筛选保障。,北京育儿业务线索较具体，应以康贝乐与家贝乐两个名称追查合同主体；暂无可归属独立口碑，宣传荣誉不等于保障执行。,2026-09-21,1.0,0,0,已查康贝乐及家贝乐的商家信息，未取得育儿嫂现行更换承诺；次数、是否补差价和替补等待期仍没有书面依据。,,0,0,针对该主体的退费检索未取得现行合同或双方确认的退费实例，无法比较试工退出、提前解约和无人可换时的扣费。,,3,1,主页宣传培训后持证，太阳宫岗位要求育婴证和体检；这是招聘要求，尚不是可检查的证书核验与健康筛查流程。,https://www.beijingbaomu.com/user/jiayuan/,0,0,已读主页包含育儿业务和联系方式，但没有育儿督导负责人、回访安排或异常升级流程，不能据培训宣传推定售后保障。,,8,4,机构自有主页可定位康贝乐全称、北京近期育儿岗位及大屯里地址电话；家贝乐品牌关系与最终合同主体仍需本单核验。,https://www.beijingbaomu.com/user/jiayuan/,0,0,8000至9000元岗位工资及万元以上人员简历是招聘薪酬样本，未构成面向雇主的价目表；机构费与试工费用仍缺。,https://www.beijingbaomu.com/user/jiayuan/
轻喜到家,北京育儿业务有线索,11,39,是,2,6,官网明确北京分支和育婴品类，培训信息可作初筛参考；育儿订单的换人、退费、督导及完整报价仍缺直接条款。,有北京分公司和育儿品类公开证据，人员与培训信息比纯目录充分；公开独立争议集中在其他服务，尚不足给北京育儿嫂口碑定级。,2026-09-21,1.0,0,0,已读轻喜官网可确认育婴早教品类，但未取得育儿嫂更换合同；免费次数、等级差价和北京替补到岗期限尚未公开。,,0,0,现有资料未取得北京育儿嫂退出退费规则；异地清洗服务的媒体退款争议不适用于育儿合同，也不能视为统一政策。,https://news.10jqka.com.cn/20260421/c676144036.shtml,3,1,官网展示母婴育婴培训基地和理论实操，构成培训宣传依据；北京拟派人员的背调、体检与具体考核流程仍缺。,https://www.qxdaojia.com/,0,0,历史直营员工制只说明管理模式宣传，没有当前育儿督导职责或回访安排；应急负责人、响应时间和替补流程仍未公开。,https://www.qxdaojia.com/NewsDetail/4056497.html,8,4,当前官网能交叉定位深圳公司、北京分公司地址和育婴早教服务并提供官方咨询入口；具体北京订单法人和人员劳动关系未核。,https://www.qxdaojia.com/,0,0,未取得北京育儿嫂现行工资、年费及试工报价，现有保洁次卡和年卡属于其他工种，不计入本项费用透明依据。,
婴之宝／靓婴堂,北京育儿业务有线索,10,43,是,3,6,现官网可见育儿嫂外派，但新婴之宝与旧靓婴堂关系没有闭环；培训跟踪有宣传，换退和收费仍需分主体核实。,深查发现同品牌词可能对应不同法人，是必须先解决的混淆点。当前新官网确有育儿嫂外派，不能只标培训机构；但两者售后、口碑和历史不可直接合并，尚无可核近期北京育儿嫂独立闭环样本。,2026-09-21,1.0,0,0,现官网仅称全程跟踪，未取得育儿嫂免费更换次数、试工和到岗期限；旧靓婴堂的承诺不能直接转到另一公司。,,0,0,两套主体线索都未提供当前育儿嫂退款细则；收款公司尚需先厘清，不能用旧品牌经历补成新公司的退费承诺。,,3,1,现官网提供育儿嫂培训与外派，旧目录另提考核体系，均未展示候选证明；仍缺健康、背调、实操和近期服务核验。,"http://www.yingzhibaobj.cn/
https://www.muyingjie.com/item-425.html",3,1,现官网自述全程跟踪，但没有督导职责、频次与问题升级时限；管理软件能力不作为消费者售后执行机制加分。,http://www.yingzhibaobj.cn/,4,2,当前北京婴之宝官网有法人、育儿嫂和电话，但与旧靓婴堂的品牌关系未证；合并档案责任尚不清，需分别核约。,"http://www.yingzhibaobj.cn/
https://www.muyingjie.com/item-425.html",0,0,已读现官网及旧目录，未取得二〇二六年育儿嫂工资和服务费；培训学费不能代替家庭实际支付的完整费用。,
安得家政,北京育儿业务有线索,10,43,是,3,6,北京主体与婴幼儿招聘可核，人员要求及售后多为招聘自述；缺现行換退合同，关联品牌争议另行展示。,小红书站内已读具名材料：作者称2025-11-12与安欣生活签3个月用人合同，试工前收阿姨工资30%定金、之后补齐，三个月服务费3500元；原阿姨1月11日因家中有事申请下户后，作者约8000元的替换需求得到的候选多为1万元以上。作者转找别家后要求退剩余1个月服务费被拒，称合同有不满意阿姨不予退款条款，改配家政阿姨又被要求支付费用。正文称安欣已被北京安得收购，首图写两者关联。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,0,0,已查安得品牌和完整法人换人条款，未取得免费次数或同价位补位承诺；相关雇主经历不证明现行通用政策。,,0,0,没有取得安得现行雇主退款合同；安欣订单的退费争议及收购说法尚未独立证实，不能当作本家退款规则。,,3,1,招聘原文要求育婴证、经验、健康证明及无不良记录，支持筛选要求线索；核验渠道和岗前考核记录未取得。,https://www.zhaopin.com/jobdetail/CCL1505764020J41007433204.htm,3,1,招聘介绍自称家政顾问定制方案与反馈跟进，仅有基础售后宣传；上门督导频率、处理时限和样例均缺。,https://www.zhaopin.com/jobdetail/CCL1505764020J41007433204.htm,4,2,2026协会条目与北京育儿招聘可定位公司，但法定代表人信息存在时点差异，尚缺现行雇主产品和合同核验。,"https://www.chsa.com.cn/nd.jsp?fromColId=-1&id=835&_ngc=-1#_np=0_31_38
https://www.zhaopin.com/jobdetail/CCL1505764020J41007433204.htm",0,0,9000至15000元只是招聘索引薪资，实时页面已打码；不是家庭报价，服务费、休假和食宿费用均未取得。,https://www.zhaopin.com/jobdetail/CCL1505764020J41007433204.htm
陈诚家政,北京育儿业务有线索,10,43,是,3,6,协会能定位北京育儿主体并提供筛选和调度宣传，但仍是间接资料；保洁履历不能补足育儿换人、退款与报价的空白。,可以补入本地机构范围，理由是协会正文已直接写育儿嫂业务。独立口碑补查主要返回保洁和异地同名，未找到能核实的北京育儿嫂交易全过程，不能沿用前身保洁荣誉做育儿排名。,2026-09-21,1.0,0,0,已查陈诚精确名称与换人合同词，未取得育儿嫂免费更换次数、同等级候选及到岗规则，保洁业务经历不补足此项保障。,,0,0,协会介绍未给试工失败、提前终约或长期不匹配的退费办法，现行扣费公式和退款时限均缺，不能据保洁资历推定。,,3,1,协会刊载企业称背景核查、技能礼仪考核，仅属间接企业介绍；育儿专项考核、体检标准和实际人选记录没有取得。,https://www.chsa.com.cn/nd.jsp?_ngc=-1&fromColId=-1&id=825,3,1,协会介绍提调度反馈与预约小程序，可记录弱管理线索；没有育儿上户后的回访频次、紧急负责人及问题响应时限。,https://www.chsa.com.cn/nd.jsp?_ngc=-1&fromColId=-1&id=825,4,2,协会原文列明北京陈诚家政法人、天通苑服务点和育儿嫂业务，但没有当前机构自有服务页核单，保洁前身与现法人需分开。,https://www.chsa.com.cn/nd.jsp?_ngc=-1&fromColId=-1&id=825,0,0,公开资料未取得面向雇主的育儿工资与机构费，保洁计费和前身经营资料不适用；试工、续约及附加费用无法比较。,
福平家政,北京育儿业务有线索,10,43,是,3,6,近期政府招聘提供育儿筛选及督导线索，合同主体名称仍有差异；换退与家庭收费缺少可比较规则。,新增北京育儿候选，近期政府岗位证据较具体。需要重点核签约法人，以及是否承诺换人后不断档与费用如何退。,2026-09-21,1.0,0,0,福平近期育儿招聘明确岗位，但更换和合同检索未取得免费次数、同档候选范围或替补到岗时限。,,0,0,已查品牌退费及合同资料，未取得育儿试工、提前解约或换人失败的退款规则，不能由招聘量推断保障。,,3,1,2026年政府招聘要求健康证、上户前指定检查和育婴证，可支持筛选要求线索；实际执行、背调和实操尚未核。,https://www.bjdch.gov.cn/zwgk/zdlygk/wgjyzdly/qyzp/202604/t20260430_4630359.html,3,1,同时招聘业务督导并要求跟进回访，支持基础售后职能线索；客户对应人员、回访频率和离岗响应均未取得。,https://www.bjdch.gov.cn/zwgk/zdlygk/wgjyzdly/qyzp/202604/t20260430_4630359.html,4,2,政府育儿岗位和协会名单交叉支持北京业务，但正文称服务中心、标题称有限公司，现行签约主体仍待核对。,"https://www.zqjz.com/index/index/wlist?id=113
https://www.bjdch.gov.cn/zwgk/zdlygk/wgjyzdly/qyzp/202604/t20260430_4630359.html",0,0,育儿招聘6000至15000元仅为员工工资区间；未取得家庭服务费、试工或假日费用，月嫂薪酬另列不混用。,https://www.bjdch.gov.cn/zwgk/zdlygk/wgjyzdly/qyzp/202604/t20260430_4630359.html
俏管家（北京）,北京育儿业务有线索,10,43,是,3,6,北京育儿业务由政府和企业招聘交叉支持，人员要求与回访仅是岗位线索；换退和家庭收费仍未公开。,新增北京育儿机构候选。政府与商家岗位交叉支持业务，换人合同和雇主口碑仍缺；南宁、天津、台湾同名公司新闻与北京法人分开。,2026-09-21,1.0,0,0,政府及商家招聘支持育儿岗位，换人专项检索却未取得现行育儿免费次数、工资差价和替补到岗承诺。,,0,0,查后未取得北京俏管家育儿退费合同或可核退款结果，南宁同名护工争议不能作为本公司退出规则。,,3,1,政府岗位要求育儿经验，旧宣传有培训上岗说法，只能支持基础要求线索；体检、背调与实操核验仍缺。,"https://rsj.ankang.gov.cn/Content-2838763.html
https://m.zhaopin.com/company/CZL1277792890.htm",3,1,商家招聘可见客户回访岗位，提供基础售后职能线索；未说明育儿客户回访频率、投诉升级或离岗补位责任。,https://m.zhaopin.com/company/CZL1277792890.htm,4,2,政府北京育婴岗位与当前可读同名分公司招聘交叉支持业务，但总分公司合同关系及当前接单仍需核验。,"https://rsj.ankang.gov.cn/Content-2838763.html
https://m.zhaopin.com/company/CZL1277792890.htm",0,0,8000至15000元为育婴招聘薪酬，家庭指导师工资属于另一工种；未取得雇主服务费和当前完整报价。,https://rsj.ankang.gov.cn/Content-2838763.html
京平绿谷家政,北京育儿业务有线索,10,43,是,3,6,政府海报支持育婴服务及培训、资金管理和保险线索，但均未核到本单；换人、退费与费用规则仍缺。,有明确北京育婴/育儿服务线索，纳入候选；具名口碑搜索未取得可归属的独立雇主履约经历。政府品牌介绍里的满意度、诚信、规模和客户好评是展示口径，不用于服务质量排名。,2026-09-21,1.0,0,0,京平绿谷海报提线上育婴接单，换人专项检索未取得明确合同承诺；候选人数、免费次数和到岗期限均缺。,,0,0,虽有三方共管账户的海报自述，未披露育儿终约退款触发、扣款和到账期限，不能把资金管理当成可退款规则。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031645610618687.jpg,3,1,2025年海报介绍校企理论、实操、场景模拟及季度培训，仅为历史培训自述；个人体检、背调和考试记录未取得。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031645610618687.jpg,3,1,历史海报列信用评价、服务站和雇主险，支持售后制度线索；未核育儿适用保单、督导频率及问题处理时限。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031645610618687.jpg,4,2,政府海报可定位北京京平绿谷及智服到家，明确育婴任务，属于北京业务线索；具体与雇主签约的法人未确认。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/t20251031_4249361.html
https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031645610618687.jpg",0,0,现有海报没有育儿工资或中介费结构，平台成交量和劳务输送量不能替代客户的费用、试工与假日明细。,
乐活家政 / 乐活圈,北京育儿业务有线索,10,43,是,3,6,延庆育婴业务及平台流程有历史官方展示，培训和售后只获基础分；缺换退期限、当前人选和客户报价。,有明确北京育婴/育儿服务线索，纳入候选；具名口碑搜索未取得可归属的独立雇主履约经历。政府品牌介绍里的满意度、诚信、规模和客户好评是展示口径，不用于服务质量排名。,2026-09-21,1.0,0,0,乐活圈海报列社区育婴服务，但查后未取得育儿免费更换的条件和次数，也未披露同价候选及到岗期限。,,0,0,育儿合同和退款专项检索未取得试工、提前退出或无人可换的退款办法，小程序预约功能不能证明可退费。,,3,1,2025年海报有理论实操和场景模拟培训，支持历史培训自述；累计上岗率不等于拟派育儿人员的实际考核。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031642859425859.jpg,3,1,历史海报描述小程序监控、评价和服务追溯，提供售后管理线索；责任人、育儿督导和投诉处理期限仍缺。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031642859425859.jpg,4,2,政府海报明确乐活家政由北京乐活圈运营，列延庆育婴服务及联系入口；当前候选、加盟关系及合同仍未核。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/t20251031_4249347.html
https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031642859425859.jpg",0,0,现有海报未列育儿工资、服务费或计费周期，平台效率和满意度宣传不提供家庭试工、假日等费用信息。,
宝贝多多,北京育儿业务有线索,10,43,是,3,6,北京主体和育儿招聘可交叉核对，筛选客服仍是招聘及企业自述；换退、保险细则和家庭总费用未公开。,纳入北京育儿嫂机构，政府就业资料能核主体、北京业务和较近期岗位；公开换人退费保障仍弱，不能按榜单星级高排。实际面试前先询服务费、换人到岗时间与无法匹配的退款。,2026-09-21,1.0,0,0,宝贝多多介绍有售后客服宣传，未公开育儿免费换人次数或到岗时限，查后也未取得同档差价与换人失败处理。,,0,0,查后没有现行育儿退费公式，招聘页面不收求职费用不等于家庭免中介费；终约和无人可换时如何退费仍未知。,,3,1,政府就业页列健康证、技能证及无犯罪记录要求，公司自述背调培训，支持招聘标准线索；逐人核验记录未取得。,"https://jy.daxing.net/qyzs/195640.jhtml
https://jy.daxing.net/zpxx/195645.jhtml
https://www.sohu.com/a/865804680_121123759",3,1,企业介绍有质检、专属客服和保险宣传，但未披露可核职责与适用保单，也缺督导频次和应急响应时限。,https://jy.daxing.net/qyzs/195640.jhtml,4,2,就业平台主体代码、地址与育儿岗位交叉支持北京公司业务，但成立年有冲突且岗位已截止，当前接单合同未核。,"https://jy.daxing.net/qyzs/195640.jhtml
https://jy.daxing.net/zpxx/195645.jhtml
https://shuidi.cn/company-8eb2f85750c23849ca9932f5883605bb.html",0,0,2026招聘6000至15000元为员工薪酬，2025工资和儿童陪伴师岗位另列；没有现行家庭服务费及总费用。,"https://jy.daxing.net/zpxx/195645.jhtml
https://jy.daxing.net/zpxx/195647.jhtml
https://www.sohu.com/a/865804680_121123759"
泰维峰家政,北京育儿业务有线索,10,43,是,3,6,北京主体和历史育儿业务有多源线索，筛选回访主要为招商宣传；现行换退、人选及完整收费仍待核实。,可作为北京老牌综合家政的补充面试渠道。育儿业务有多源线索，但现行换退合同、在岗供给与近期独立雇主经验不足，不宜凭老品牌/直营宣传排在已具备明确换人规则的机构之前。,2026-09-21,1.0,0,0,未取得泰维峰现行育儿换人合同；竞品推广及旧目录的表述不能当本家可执行承诺，次数、到岗和同档替补均未核。,,0,0,已查育儿退费合同，未取得试工失败、终止或无人可换的计算及到账期限；损坏物品赔偿宣传不等于退出退款。,,3,1,第三方招商页自述公安备案、无犯罪和培训上岗，仅作推广线索；缺当期育儿体检、证书核验和实操考试记录。,"https://jm.chinapp.com/zhaoshang/2584
https://www.jobcn.com/position/home.xhtml?comId=466551&redirect=0&s=page%2Fhome",3,1,招商正文称售后回访和问题处理，只支持基础宣传；育儿督导频率、投诉升级、响应时限及责任安排仍缺。,https://jm.chinapp.com/zhaoshang/2584,4,2,2026政府联系页可定位北京主体，商业育儿介绍和门店广告索引补充业务线索；当前门店及签约法人仍需确认。,"https://japanese.beijing.gov.cn/investinginbeijing/business_service/HR/202605/t20260527_4667800.html
https://jm.chinapp.com/zhaoshang/2584
https://www.58.com/npphyjm202208241703/",0,0,查后没有2026育儿工资、管理会员费及加班明细，招商页5至10万元为加盟投资额，不能当雇主收费。,https://jm.chinapp.com/zhaoshang/2584
